feature,importance
alcohol,0.1477837819300955
volatile acidity,0.11423434192064852
citric acid,0.11359208243492672
sulphates,0.10455350225943313
density,0.09355873738346007
fixed acidity,0.07164155835004722
Id,0.0684138487805902
total sulfur dioxide,0.0639463240324604
pH,0.062450909251690875
residual sugar,0.05473100710418909
chlorides,0.05382692209323715
free sulfur dioxide,0.051266984459221135
